Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	2017	2018	2019	2020	2021	2022	2023	2024	Estimates Start After
Dominica	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	0.524	0.533	0.593	0.633	0.672	0.710	0.739	0.765	2017
Dominican Republic	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	80.082	85.630	89.475	96.291	103.627	111.192	119.329	127.934	2018
Ecuador	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	104.296	108.398	107.914	109.444	112.682	117.083	121.318	125.598	2018
Egypt	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	236.528	249.559	302.256	353.003	376.542	397.346	419.833	453.726	2018
El Salvador	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	24.928	26.057	26.871	27.918	29.026	30.157	31.452	32.773	2018
Equatorial Guinea	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	12.287	13.734	12.142	11.635	11.327	11.096	11.129	11.226	2017
Eritrea	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1.919	2.007	2.110	2.193	2.327	2.543	2.717	2.904	2018
Estonia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	26.850	30.761	31.038	32.742	34.950	37.178	39.452	41.921	2018
Eswatini	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	4.452	4.711	4.657	4.784	4.924	5.137	5.376	5.624	2017
Ethiopia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	75.745	80.289	91.166	103.607	114.681	125.255	135.361	146.181	2018
Fiji	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	5.373	5.524	5.708	6.062	6.450	6.862	7.308	7.776	2018
Finland	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	252.867	274.210	269.654	280.709	292.810	305.243	317.532	330.940	2018
France	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	2,591.775	2,780.152	2,707.074	2,771.622	2,876.227	2,983.803	3,093.657	3,214.610	2018
Gabon	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	14.924	16.875	16.877	17.623	18.563	19.660	20.893	22.438	2018
The Gambia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1.498	1.625	1.773	1.925	2.060	2.206	2.346	2.486	2018
Georgia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	15.080	16.209	15.925	17.007	18.662	20.415	22.075	23.843	2018
Germany	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	3,664.511	3,951.340	3,863.344	3,982.235	4,158.656	4,322.593	4,491.375	4,675.325	2018
Ghana	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	58.978	65.518	67.077	69.757	74.633	79.335	84.696	90.483	2018
Greece	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	203.493	218.230	214.012	222.785	231.755	240.408	248.406	257.239	2018
Grenada	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1.126	1.185	1.238	1.295	1.356	1.428	1.505	1.582	2018
Guatemala	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	75.620	78.461	81.318	86.397	92.553	98.775	105.480	114.375	2018
Guinea	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	10.306	12.099	13.368	14.396	15.566	16.707	17.881	19.143	2018
Guinea-Bissau	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1.350	1.429	1.397	1.507	1.627	1.760	1.907	2.070	2018
Guyana	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	3.606	3.899	4.121	8.065	8.674	10.689	14.003	15.454	2017
Haiti	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	8.409	9.658	8.819	8.709	9.072	9.445	9.822	10.214	2018
Honduras	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	23.101	23.803	24.449	25.314	26.356	27.561	28.875	30.304	2017
Hong Kong SAR	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	341.718	362.721	372.989	385.274	402.464	421.507	442.219	464.976	2018
Hungary	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	139.844	161.182	170.407	180.498	192.239	201.487	211.566	222.130	2018
Iceland	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	24.457	25.965	23.918	24.237	24.744	25.268	26.115	27.123	2018
India	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	2,652.245	2,718.732	2,935.570	3,202.183	3,509.654	3,847.967	4,223.843	4,631.761	2018
Indonesia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1,015.292	1,022.454	1,111.713	1,204.830	1,297.175	1,390.183	1,489.693	1,596.011	2018
Islamic Republic of Iran	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	430.709	446.105	458.500	463.077	476.369	496.411	525.422	573.541	2018
Iraq	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	195.473	224.228	224.462	232.745	242.586	254.801	268.191	283.309	2017
Ireland	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	335.211	382.754	384.940	402.050	424.247	447.754	471.666	497.730	2018
Israel	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	353.253	370.588	387.717	410.501	433.165	457.448	483.878	511.646	2018
Italy	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1,950.703	2,075.856	1,988.636	2,013.670	2,070.106	2,125.928	2,182.541	2,246.020	2018
Jamaica	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	14.773	15.461	15.702	16.474	17.082	17.813	18.619	19.503	2018
Japan	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	4,859.788	4,971.767	5,154.475	5,413.054	5,592.333	5,796.033	6,019.234	6,259.581	2018
Jordan	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	40.766	42.291	44.172	46.363	48.758	51.376	54.240	57.264	2018
Kazakhstan	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	162.887	172.941	170.326	182.623	196.871	213.339	236.572	258.459	2018
Kenya	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	78.689	87.928	98.607	109.128	119.545	131.369	144.686	158.835	2018
Kiribati	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	0.186	0.189	0.184	0.192	0.201	0.210	0.220	0.230	2017
Korea	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1,623.901	1,720.489	1,629.532	1,626.553	1,702.137	1,789.961	1,884.063	1,988.109	2018
Kosovo	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	7.243	7.947	7.996	8.402	8.972	9.585	10.228	10.947	2018
Kuwait	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	119.533	141.646	137.591	139.570	143.423	148.617	155.261	163.211	2017
Kyrgyz Republic	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	7.703	8.093	8.261	8.715	9.218	9.822	10.344	10.893	2018
Lao P.D.R.	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	17.069	18.120	19.127	21.211	23.084	25.107	27.299	29.672	2018
Latvia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	30.528	34.882	35.045	36.771	39.107	41.456	43.838	46.439	2018
Lebanon	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	53.394	56.372	58.565	60.455	63.139	66.120	69.608	73.008	2017
Lesotho	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	2.677	2.713	2.741	2.800	2.974	3.180	3.317	3.458	2017
Liberia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	3.284	3.248	3.222	3.231	3.279	3.451	3.513	3.725	2018
Libya	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	30.557	40.951	33.018	34.076	35.003	36.415	38.093	39.968	2017
Lithuania	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	47.645	53.302	53.641	56.225	59.493	62.718	65.924	69.418	2018
Luxembourg	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	62.449	69.553	69.453	72.994	76.823	80.851	85.042	89.541	2018
Macao SAR	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	50.559	54.545	55.136	55.377	56.275	57.790	59.437	61.342	2018
Madagascar	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	11.464	12.090	12.550	13.647	14.765	15.901	17.132	18.457	2017
Malawi	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	6.230	6.901	7.522	8.050	8.539	9.115	9.770	10.477	2011
Malaysia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	318.955	358.579	365.303	381.523	409.533	438.681	470.158	505.157	2018
Maldives	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	4.858	5.328	5.786	6.283	6.795	7.348	7.937	8.539	2018
Mali	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	15.370	17.180	17.647	19.020	20.439	21.984	23.624	25.229	2018
Malta	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	12.764	14.560	14.859	15.787	16.879	17.968	19.055	20.209	2018
Marshall Islands	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	0.208	0.214	0.220	0.228	0.236	0.243	0.249	0.255	2017
Mauritania	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	4.925	5.237	5.651	5.918	6.280	6.920	7.480	8.063	2014
Mauritius	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	13.259	14.210	14.391	14.851	15.801	16.864	17.891	18.940	2018
Mexico	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	1,156.953	1,222.053	1,274.175	1,322.489	1,380.722	1,442.297	1,508.486	1,579.378	2018
Micronesia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	0.363	0.372	0.381	0.391	0.402	0.413	0.423	0.434	2018
Moldova	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	9.670	11.309	11.688	12.281	12.975	13.725	14.512	15.376	2018
Mongolia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	11.426	13.009	13.637	14.674	15.810	17.017	18.136	19.228	2016
Montenegro	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	4.855	5.457	5.424	5.685	5.993	6.337	6.707	7.090	2018
Morocco	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	109.709	118.534	119.040	124.539	132.769	141.575	151.027	161.282	2018
Mozambique	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	12.586	14.396	15.093	16.695	17.879	19.032	21.277	24.228	2018
Myanmar	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	61.386	68.668	65.994	72.105	78.827	86.023	93.833	102.485	2018
Namibia	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	13.562	14.513	14.368	14.943	15.634	16.524	17.593	18.548	2018
Nauru	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	0.110	0.112	0.108	0.111	0.114	0.118	0.122	0.127	2018
Nepal	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	25.181	29.040	29.813	33.917	37.255	40.711	44.273	48.052	2019
Netherlands	Gross domestic product, current prices	U.S. dollars	Billions	See notes for:  Gross domestic product, current prices (National currency).	833.575	914.519	902.355	930.990	970.522	1,009.881	1,050.234	1,095.998	2018
